FileName,Steps,Labels,Categories,Region,Counts
7_14_2022_Exp8Slide1_vsgGFP_pavmCherry_antiGFP488_antiRFP555_antiFAS3647_DAPI_RLdeconvolved30iterations_0.15micronZsteps_7,steps7,L1,pav_midbody,Three,1
7_14_2022_Exp8Slide1_vsgGFP_pavmCherry_antiGFP488_antiRFP555_antiFAS3647_DAPI_RLdeconvolved30iterations_0.15micronZsteps_7,steps7,L2,pav_onlyrings,TwoB,3
7_14_2022_Exp8Slide1_vsgGFP_pavmCherry_antiGFP488_antiRFP555_antiFAS3647_DAPI_RLdeconvolved30iterations_0.15micronZsteps_7,steps7,L2,pav_onlyrings,Three,5
7_14_2022_Exp8Slide1_vsgGFP_pavmCherry_antiGFP488_antiRFP555_antiFAS3647_DAPI_RLdeconvolved30iterations_0.15micronZsteps_7,steps7,L3,vsg_onlyrings,TwoB,4
7_14_2022_Exp8Slide1_vsgGFP_pavmCherry_antiGFP488_antiRFP555_antiFAS3647_DAPI_RLdeconvolved30iterations_0.15micronZsteps_7,steps7,L3,vsg_onlyrings,Three,0
7_14_2022_Exp8Slide1_vsgGFP_pavmCherry_antiGFP488_antiRFP555_antiFAS3647_DAPI_RLdeconvolved30iterations_0.15micronZsteps_7,steps7,L4,pavvsg_ring,TwoB,11
7_14_2022_Exp8Slide1_vsgGFP_pavmCherry_antiGFP488_antiRFP555_antiFAS3647_DAPI_RLdeconvolved30iterations_0.15micronZsteps_7,steps7,L4,pavvsg_ring,Three,5
7_14_2022_Exp8Slide1_vsgGFP_pavmCherry_antiGFP488_antiRFP555_antiFAS3647_DAPI_RLdeconvolved30iterations_0.15micronZsteps_10,steps10,L1,pav_midbody,TwoB,2
7_14_2022_Exp8Slide1_vsgGFP_pavmCherry_antiGFP488_antiRFP555_antiFAS3647_DAPI_RLdeconvolved30iterations_0.15micronZsteps_10,steps10,L1,pav_midbody,Three,0
7_14_2022_Exp8Slide1_vsgGFP_pavmCherry_antiGFP488_antiRFP555_antiFAS3647_DAPI_RLdeconvolved30iterations_0.15micronZsteps_10,steps10,L2,pav_onlyrings,TwoB,7
7_14_2022_Exp8Slide1_vsgGFP_pavmCherry_antiGFP488_antiRFP555_antiFAS3647_DAPI_RLdeconvolved30iterations_0.15micronZsteps_10,steps10,L2,pav_onlyrings,Three,3
7_14_2022_Exp8Slide1_vsgGFP_pavmCherry_antiGFP488_antiRFP555_antiFAS3647_DAPI_RLdeconvolved30iterations_0.15micronZsteps_10,steps10,L3,vsg_onlyrings,TwoB,6
7_14_2022_Exp8Slide1_vsgGFP_pavmCherry_antiGFP488_antiRFP555_antiFAS3647_DAPI_RLdeconvolved30iterations_0.15micronZsteps_10,steps10,L3,vsg_onlyrings,Three,8
7_14_2022_Exp8Slide1_vsgGFP_pavmCherry_antiGFP488_antiRFP555_antiFAS3647_DAPI_RLdeconvolved30iterations_0.15micronZsteps_10,steps10,L4,pavvsg_ring,TwoB,10
7_14_2022_Exp8Slide1_vsgGFP_pavmCherry_antiGFP488_antiRFP555_antiFAS3647_DAPI_RLdeconvolved30iterations_0.15micronZsteps_10,steps10,L4,pavvsg_ring,Three,4
7_14_2022_Exp8Slide1_vsgGFP_pavmCherry_antiGFP488_antiRFP555_antiFAS3647_DAPI_RLdeconvolved30iterations_0.15micronZsteps_14,steps14,L1,pav_midbody,TwoB,0
7_14_2022_Exp8Slide1_vsgGFP_pavmCherry_antiGFP488_antiRFP555_antiFAS3647_DAPI_RLdeconvolved30iterations_0.15micronZsteps_14,steps14,L1,pav_midbody,Three,0
7_14_2022_Exp8Slide1_vsgGFP_pavmCherry_antiGFP488_antiRFP555_antiFAS3647_DAPI_RLdeconvolved30iterations_0.15micronZsteps_14,steps14,L2,pav_onlyrings,TwoB,3
7_14_2022_Exp8Slide1_vsgGFP_pavmCherry_antiGFP488_antiRFP555_antiFAS3647_DAPI_RLdeconvolved30iterations_0.15micronZsteps_14,steps14,L2,pav_onlyrings,Three,3
7_14_2022_Exp8Slide1_vsgGFP_pavmCherry_antiGFP488_antiRFP555_antiFAS3647_DAPI_RLdeconvolved30iterations_0.15micronZsteps_14,steps14,L3,vsg_onlyrings,TwoB,4
7_14_2022_Exp8Slide1_vsgGFP_pavmCherry_antiGFP488_antiRFP555_antiFAS3647_DAPI_RLdeconvolved30iterations_0.15micronZsteps_14,steps14,L3,vsg_onlyrings,Three,3
7_14_2022_Exp8Slide1_vsgGFP_pavmCherry_antiGFP488_antiRFP555_antiFAS3647_DAPI_RLdeconvolved30iterations_0.15micronZsteps_14,steps14,L4,pavvsg_ring,TwoB,7
7_14_2022_Exp8Slide1_vsgGFP_pavmCherry_antiGFP488_antiRFP555_antiFAS3647_DAPI_RLdeconvolved30iterations_0.15micronZsteps_14,steps14,L4,pavvsg_ring,Three,2
